PostId,ClassType,NoOfLines,Similarity,CodeChar
5146570,1,11,70,505
14610522,1,11,70,384
16717514,1,11,70,421
12203291,1,11,70,464
14401179,1,11,70,167
1759135,1,11,70,174
31123183,1,11,70,311
44184361,1,11,70,1009
9124171,1,11,70,321
44997764,1,11,70,253
7938057,1,11,70,286
44997764,1,11,70,253
44997764,1,11,70,253
44997764,1,11,70,253
41294624,1,11,70,209
38690686,1,11,70,291
3921029,1,11,70,651
34515953,1,11,70,181
34515953,1,11,70,184
2813297,1,11,70,186
25082815,1,11,70,209
11251916,1,11,70,428
8150871,1,11,70,185
19778280,1,11,70,217
24768316,1,11,70,326
28357334,1,11,70,262
31407517,1,11,70,433
47345532,1,11,70,290
32277124,1,11,70,233
11898746,1,11,70,410
36320709,1,11,70,244
35535797,1,11,70,198
25953472,1,11,70,250
11899395,1,11,70,315
11975548,1,11,70,227
43170278,1,11,70,282
11975548,1,11,70,227
14656021,1,11,70,228
29347609,1,11,70,350
4507174,1,11,70,215
20614353,1,11,70,319
27173966,1,11,70,326
27657463,1,11,70,323
11772053,1,11,70,577
27657463,1,11,70,407
15339127,1,11,70,295
28093014,1,11,70,527
18435963,1,11,70,251
24361899,1,11,70,424
18993000,1,11,70,334
18321299,1,11,70,277
51810002,1,11,70,533
40095785,1,11,70,273
5505257,1,11,70,299
40695162,1,11,70,269
11901324,1,11,70,299
12481048,1,11,70,331
25516836,1,11,70,259
11092549,1,11,70,283
27404362,1,11,70,657
15084761,1,11,70,366
3675673,1,11,70,580
12335165,1,11,70,493
5046088,1,11,70,486
12394269,1,11,70,407
26958868,1,11,70,262
15329664,1,11,70,395
17750088,1,11,70,490
5803863,1,11,70,596
23649584,1,11,70,271
33700964,1,11,70,258
7885211,1,11,70,587
21745118,1,11,70,270
40491996,1,11,70,425
31788509,1,11,70,259
21708478,1,11,70,522
